Admission_rate,Midpoint_of_SAT_scores_at_the_institution__math,In_state_tuition_and_fees,Out_of_state_tuition_and_fees,Average_faculty_salary,Average_cost_of_attendance__academic_year_institutions,Percentage_of_undergraduates_who_receive_a_Pell_Grant,Median_family_income,Control_of_institution,Completion_rate_for_first_time_full_time_target
80,-1,54,43,7,-1,-1,23,0,0
-1,-1,94,94,-1,-1,0,-1,0,0
-1,-1,-1,-1,-1,-1,38,-1,0,0
25,-1,63,55,36,-1,-1,-1,0,1
-1,-1,-1,-1,-1,-1,-1,6,2,0
-1,-1,43,26,-1,-1,-1,5,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
90,-1,-1,-1,-1,-1,69,-1,2,0
-1,-1,22,25,69,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,91,-1,2,0
-1,-1,70,64,16,78,92,-1,0,0
-1,-1,46,30,17,-1,-1,-1,1,0
32,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,17,2,0
-1,-1,25,7,1,0,96,-1,2,0
66,-1,49,35,46,-1,-1,80,1,0
90,-1,-1,-1,-1,-1,-1,-1,0,0
18,24,53,93,98,24,30,-1,2,1
8,34,78,74,38,-1,-1,-1,1,1
-1,-1,-1,-1,74,-1,-1,-1,1,0
23,-1,-1,-1,54,-1,69,-1,0,0
71,-1,47,31,-1,-1,-1,0,0,0
-1,-1,-1,-1,40,-1,-1,25,2,0
-1,-1,1,13,95,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,48,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,81,-1,0,0
-1,-1,22,9,58,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,58,-1,-1,-1,-1,-1,0,0
33,6,91,91,84,-1,40,-1,1,0
-1,-1,-1,-1,42,-1,-1,-1,1,0
-1,-1,18,3,27,-1,-1,5,2,0
-1,-1,50,37,-1,-1,-1,25,0,0
-1,-1,-1,-1,-1,-1,89,-1,0,0
74,12,49,78,83,44,44,-1,2,0
